$ all processes (read-only)
    PID    PPID STAT     ELAPSED COMMAND
    141       2 I<   15-18:33:23 [kworker/9:0H-events_highpri]
    142       2 S    15-18:33:23 [cpuhp/11]
    143       2 S    15-18:33:23 [idle_inject/11]
    144       2 S    15-18:33:23 [migration/11]
    145       2 S    15-18:33:23 [ksoftirqd/11]
    147       2 I<   15-18:33:23 [kworker/11:0H-events_highpri]
    148       2 S    15-18:33:23 [cpuhp/13]
    149       2 S    15-18:33:23 [idle_inject/13]
    150       2 S    15-18:33:23 [migration/13]
    151       2 S    15-18:33:23 [ksoftirqd/13]
    153       2 I<   15-18:33:23 [kworker/13:0H-events_highpri]
    154       2 S    15-18:33:23 [cpuhp/15]
    155       2 S    15-18:33:23 [idle_inject/15]
    156       2 S    15-18:33:23 [migration/15]
    157       2 S    15-18:33:23 [ksoftirqd/15]
    159       2 I<   15-18:33:23 [kworker/15:0H-events_highpri]
    160       2 S    15-18:33:23 [kdevtmpfs]
    161       2 I<   15-18:33:23 [kworker/R-inet_frag_wq]
    162       2 I    15-18:33:23 [rcu_tasks_kthread]
    163       2 I    15-18:33:23 [rcu_tasks_rude_kthread]
    164       2 I    15-18:33:23 [rcu_tasks_trace_kthread]
    165       2 S    15-18:33:23 [kauditd]
    166       2 S    15-18:33:23 [khungtaskd]
    168       2 S    15-18:33:23 [oom_reaper]
    169       2 I<   15-18:33:23 [kworker/R-writeback]
    170       2 S    15-18:33:23 [kcompactd0]
    172       2 SN   15-18:33:23 [ksmd]
    173       2 SN   15-18:33:23 [khugepaged]
    174       2 I<   15-18:33:23 [kworker/R-kblockd]
    175       2 I<   15-18:33:23 [kworker/R-blkcg_punt_bio]
    176       2 I<   15-18:33:23 [kworker/R-kintegrityd]
    177       2 S    15-18:33:23 [irq/9-acpi]
    181       2 I<   15-18:33:23 [kworker/R-tpm_dev_wq]
    182       2 I<   15-18:33:23 [kworker/R-ata_sff]
    183       2 I<   15-18:33:23 [kworker/R-md]
    184       2 I<   15-18:33:23 [kworker/R-md_bitmap]
    185       2 I<   15-18:33:23 [kworker/R-edac-poller]
    186       2 I<   15-18:33:23 [kworker/R-devfreq_wq]
    187       2 S    15-18:33:23 [watchdogd]
